grup,kosakata,furigana,arti,contoh1,arti_contoh1,contoh2,arti_contoh2
Bagian Kesehatan,失禁,しっきん,INKONTINENSIA,利用者に失禁があった場合は、すぐに対応します。,"Jika pengguna layanan mengalami inkontinensia, segera tangani.",失禁の有無を記録します。,Catat apakah terjadi inkontinensia.
Bagian Kesehatan,やけど,,LUKA BAKAR,利用者のnanを確認します。,Periksa luka bakar pengguna layanan.,nanに変化があった場合は、すぐに報告します。,"Jika terjadi perubahan pada luka bakar, segera laporkan."
Bagian Kesehatan,骨折,こっせつ,FRAKTUR,転倒した利用者に骨折がないか確認します。,Periksa apakah pengguna layanan yang jatuh mengalami fraktur.,骨折が疑われる場合は、すぐに医療職へ報告します。,"Jika dicurigai terjadi fraktur, segera laporkan kepada tenaga medis."
Bagian Kesehatan,転倒,てんとう,TERJATUH,利用者が転倒しないように環境を整えます。,Atur lingkungan agar pengguna layanan tidak terjatuh.,転倒があった場合は、すぐに報告して記録します。,"Jika terjadi jatuh, segera laporkan dan catat."
Posisi,仰臥位,あおむけ（ぎょうがい）,TELENTANG (POSISI SUPINASI),利用者を仰臥位の姿勢にします。,Atur pengguna layanan ke posisi telentang (posisi supinasi).,介助するときは仰臥位を確認して、安全に行います。,"Saat membantu, periksa posisi telentang (posisi supinasi) dan lakukan dengan aman."
Posisi,腹臥位,うつぶせ（ふくがい）,TENGKURAP (POSISI PRONASI),利用者を腹臥位の姿勢にします。,Atur pengguna layanan ke posisi tengkurap (posisi pronasi).,介助するときは腹臥位を確認して、安全に行います。,"Saat membantu, periksa posisi tengkurap (posisi pronasi) dan lakukan dengan aman."
Posisi,横向き (側臥位),よこむき（そくがい）,MENYAMPING (POSISI LATERAL),利用者を横向き (側臥位)の姿勢にします。,Atur pengguna layanan ke posisi menyamping (posisi lateral).,介助するときは横向き (側臥位)を確認して、安全に行います。,"Saat membantu, periksa posisi menyamping (posisi lateral) dan lakukan dengan aman."
Posisi,体位,たいい,POSTUR,利用者の体位を整えます。,Atur posisi tubuh pengguna layanan.,長時間同じ体位にならないように注意します。,Jangan biarkan pengguna layanan berada dalam posisi yang sama terlalu lama.
Posisi,重心,じゅうしん,TITIK PUSAT,立ち上がるときは重心を前に移します。,"Saat berdiri, pindahkan pusat gravitasi ke depan.",移乗介助では利用者の重心の位置を確認します。,"Saat membantu perpindahan, periksa posisi pusat gravitasi pengguna layanan."
Posisi,座位,ざい,DUDUK,利用者を安定した座位にします。,Atur pengguna layanan dalam posisi duduk yang stabil.,座位を保てるか確認します。,Periksa apakah pengguna layanan dapat mempertahankan posisi duduk.
Posisi,立位,りつい,BERDIRI,利用者を安全な立位にします。,Bantu pengguna layanan berdiri dengan aman.,立位が安定しているか確認します。,Periksa apakah posisi berdirinya stabil.
Posisi,端座位,たんざい,DUDUK TEGAK,ベッドの端で端座位を取ってもらいます。,Minta pengguna layanan duduk tegak di tepi tempat tidur.,端座位が安定してから立ち上がります。,Berdirilah setelah posisi duduk tegak stabil.
Posisi,患側,かんそく,SISI SAKIT,移乗するときは患側に注意します。,"Saat membantu perpindahan, perhatikan sisi yang sakit.",患側を支えながら、安全に介助します。,Bantu sambil menopang sisi yang sakit dengan aman.
Posisi,健側,けんそく,SISI SEHAT,立ち上がるときは健側に手すりを持ってもらいます。,"Saat berdiri, minta pengguna layanan memegang pegangan dengan sisi yang sehat.",移乗介助では健側の力も利用します。,"Saat membantu perpindahan, manfaatkan kekuatan sisi yang sehat."
Posisi,麻痺,まひ,LUMPUH,利用者に麻痺がないか確認します。,Periksa apakah pengguna layanan mengalami kelumpuhan.,麻痺がある側に無理な力をかけないようにします。,Jangan memberikan tekanan berlebihan pada sisi yang mengalami kelumpuhan.
DLL,報告,ほうこく,MELAPORKAN,体調の変化があったら、すぐに報告します。,"Jika ada perubahan kondisi tubuh, segera laporkan.",事故が起きた場合は、責任者に報告します。,"Jika terjadi kecelakaan, laporkan kepada penanggung jawab."
DLL,連絡,れんらく,BERKOMUNIKASI,家族に利用者の状況を連絡します。,Hubungi keluarga mengenai kondisi pengguna layanan.,必要なことがあれば、看護師に連絡します。,"Jika diperlukan, hubungi perawat."
DLL,相談,そうだん,BERDISKUSI,困ったことがあれば、先輩に相談します。,"Jika ada masalah, konsultasikan kepada senior.",利用者のケアについて看護師に相談します。,Konsultasikan perawatan pengguna layanan kepada perawat.
DLL,確認,かくにん,MENGECEK,介助の前に利用者の体調を確認します。,Periksa kondisi tubuh pengguna layanan sebelum membantu.,薬を渡す前に名前を確認します。,Periksa nama sebelum memberikan obat.
DLL,指導,しどう,MEMBIMBING,先輩が新人職員に介助方法を指導します。,Senior mengajarkan metode bantuan kepada staf baru.,安全な移乗方法について指導を受けます。,Dapatkan bimbingan tentang metode perpindahan yang aman.
DLL,助言,じょげん,MEMBERI SARAN,先輩から介助方法について助言をもらいます。,Dapatkan saran dari senior tentang metode bantuan.,利用者への声かけについて助言します。,Berikan saran mengenai cara berbicara kepada pengguna layanan.
DLL,申し送り,もうしおくり,SERAH TERIMA,夜勤の職員から日勤の職員へ申し送りをします。,Lakukan serah terima dari staf shift malam kepada staf shift siang.,申し送りで利用者の体調の変化を共有します。,Bagikan perubahan kondisi pengguna layanan saat serah terima.
DLL,記録,きろく,MENCATAT,介助の内容を記録します。,Catat tindakan perawatan yang dilakukan.,体調の変化があった場合は、すぐに記録します。,"Jika ada perubahan kondisi tubuh, segera catat."
DLL,カラオケ,,KARAOKE,仕事ではnanを大切にします。,"Dalam pekerjaan, perhatikan karaoke.",必要なときはnanを行い、情報を共有します。,"Jika diperlukan, lakukan karaoke dan bagikan informasinya."
DLL,トランプ,,KARTU REMI,仕事ではnanを大切にします。,"Dalam pekerjaan, perhatikan kartu remi.",必要なときはnanを行い、情報を共有します。,"Jika diperlukan, lakukan kartu remi dan bagikan informasinya."
DLL,百人一首,ひゃくにんいっしゅ,PERMAINAN KARTU 100 PUISI,利用者と一緒に百人一首を楽しみます。,Nikmati permainan Hyakunin Isshu bersama pengguna layanan.,レクリエーションで百人一首を行います。,Adakan permainan Hyakunin Isshu sebagai kegiatan rekreasi.
DLL,麻雀,まーじゃん,MAHYONG,利用者と一緒に麻雀を楽しみます。,Nikmati permainan mahjong bersama pengguna layanan.,レクリエーションで麻雀を行います。,Adakan permainan mahjong sebagai kegiatan rekreasi.
DLL,習字,しゅうじ,KALIGRAF,利用者と一緒に習字をします。,Lakukan kaligrafi Jepang bersama pengguna layanan.,レクリエーションで習字を楽しみます。,Nikmati kaligrafi Jepang sebagai kegiatan rekreasi.
DLL,記録ファイル,きろくファイル,BERKAS CATATAN,利用者の記録ファイルを確認します。,Periksa berkas catatan pengguna layanan.,必要な情報を記録ファイルに記入します。,Tulis informasi yang diperlukan ke dalam berkas catatan.
DLL,棚,たな,RAK,棚にタオルを整理して置きます。,Rapikan dan letakkan handuk di rak.,棚が倒れないか確認します。,Periksa agar rak tidak roboh.
DLL,鍵,かぎ,KUNCI,部屋の鍵を確認します。,Periksa kunci kamar.,鍵をなくさないように保管します。,Simpan kunci agar tidak hilang.
DLL,名札,なふだ（ネームプレート）,PAPAN NAMA,仕事中は名札をつけます。,Kenakan papan nama saat bekerja.,名札を見て職員の名前を確認します。,Lihat papan nama untuk mengetahui nama staf.
DLL,AED,,AED,仕事ではnanを大切にします。,"Dalam pekerjaan, perhatikan AED.",必要なときはnanを行い、情報を共有します。,"Jika diperlukan, lakukan AED dan bagikan informasinya."
DLL,シフト,,SHIFT,仕事ではnanを大切にします。,"Dalam pekerjaan, perhatikan shift.",必要なときはnanを行い、情報を共有します。,"Jika diperlukan, lakukan shift dan bagikan informasinya."
DLL,日勤,にっきん,SHIFT SIANG,今日は日勤を担当します。,Hari ini saya bertugas shift siang.,日勤の職員から申し送りを受けます。,Terima serah terima dari staf shift siang.
DLL,夜勤,やきん,SHIFT MALAM,今日は夜勤を担当します。,Hari ini saya bertugas shift malam.,夜勤の前に利用者の情報を確認します。,"Sebelum shift malam, periksa informasi pengguna layanan."
DLL,遅番,おそばん,SHIFT LAMBAT,今日は遅番を担当します。,Hari ini saya bertugas shift sore/akhir.,遅番の職員に申し送りをします。,Lakukan serah terima kepada staf shift sore/akhir.
DLL,早番,はやばん,SHIFT CEPAT,明日は早番を担当します。,Besok saya bertugas shift pagi.,早番の職員が朝のケアを行います。,Staf shift pagi melakukan perawatan pagi.
DLL,有給休暇,ゆうきゅうきゅうか,CUTI BERBAYAR,来月、有給休暇を取ります。,Bulan depan saya mengambil cuti berbayar.,有給休暇を申請する前にシフトを確認します。,"Sebelum mengajukan cuti berbayar, periksa jadwal shift."
DLL,公休,こうきゅう,LIBUR RESMI,今日は公休です。,Hari ini saya libur resmi.,公休の日はゆっくり休みます。,"Pada hari libur resmi, saya beristirahat dengan baik."
DLL,遅刻,ちこく,TERLAMBAT,遅刻しないように、早めに家を出ます。,Saya berangkat lebih awal agar tidak terlambat.,遅刻した場合は、すぐに職場へ連絡します。,"Jika terlambat, segera hubungi tempat kerja."
DLL,早退,そうたい,PULANG LEBIH AWAL,体調が悪いので、今日は早退します。,"Karena kondisi tubuh kurang baik, hari ini saya pulang lebih awal.",早退するときは、責任者に報告します。,"Saat pulang lebih awal, laporkan kepada penanggung jawab."
DLL,欠勤,けっきん,ABSEN,体調不良で欠勤するときは、職場に連絡します。,"Jika tidak masuk kerja karena kondisi tubuh kurang baik, hubungi tempat kerja.",欠勤した場合は、次の勤務日に申し送りを確認します。,"Jika tidak masuk kerja, periksa kembali informasi serah terima pada hari kerja berikutnya."
DLL,病欠,びょうけつ,IZIN KARENA SAKIT,病欠するときは、職場に連絡します。,"Jika mengambil izin karena sakit, hubungi tempat kerja.",病欠の日数について責任者に確認します。,Konfirmasikan jumlah hari izin sakit kepada penanggung jawab.
